Year,Series,Type of Product,Value
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.00974
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.055
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.35626
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.21
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.29082
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,12.796
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.089
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.091
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.051
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00664
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.003
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.299
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.103
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.009
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.44
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.655
